participant,condition,order,purse,shoe,plane,drum,quarter,apple,leaf_insect,flower,age,native_english,sex,race,consent,completed_all_trials,notes,coding
85,0,5,1,0,0,1,0,0,0,1,4.33,0,0,Asian,3,1,,
86,1,5,0,1,0,0,0,0,1,0,4.05,1,0,Hispanic/Latinx,2,1,"for the quarter one, he changed his mind from bottom to top",
87,2,5,0,0,1,0,0,1,1,1,4.57,0,1,"Hispanic/Latinx, White",3,1,,
88,0,6,0,1,0,1,0,1,0,0,4.93,1,1,Asian,1,1,,
89,1,6,0,0,0,0,1,0,1,0,4.68,0,1,Asian,2,1,,
90,2,6,1,0,1,1,1,1,1,1,4.29,1,0,"asian, white",3,1,,
91,0,1,0,0,0,0,0,0,1,0,4.08,1,1,"asian, white",3,1,,
92,0,5,1,0,0,0,0,0,0,0,4.06,1,0,white,2,1,,
93,2,2,1,0,1,1,0,0,1,1,4.05,1,prefer not to aswer,prefer not to aswer,1,1,"was shy, mostly pointed at the pictures and let his mom say the answers",
94,0,5,1,0,0,0,1,1,0,1,4.73,1,1,other,2,1,,
95,1,4,0,0,0,0,1,0,1,0,4.64,1,1,white,3,1,,
96,1,5,0,0,1,0,1,1,1,0,4.15,1,0,White,2,1,"Lots of technical difficulties. In the end, could not get them to hide self view or uncheck side-by-side mode. The trials themselves went fine",
97,1,6,0,0,0,1,0,1,0,0,4.41,1,1,"Asian, White",2,1,,
98,2,3,1,1,0,1,1,1,1,1,4.47,1,0,"Asian, White",3,1,,
99,2,4,1,1,1,0,0,0,1,0,4.57,0,1,Asian,2,1,,
